ID	sample
ERR2497987	R_16_00151_RC
ERR2497988	R_16_00152_RC
ERR2497989	R_16_00153_RC
ERR2497990	R_16_00154_RC
ERR2497991	R_16_00382_RT
ERR2497992	R_16_00383_RT
ERR2497993	R_16_00384_RT
ERR2497994	R_16_00385_RT
ERR2497995	R_16_00386_RT
ERR2497996	R_16_00387_RT
ERR2497997	R_16_00389_RT
ERR2497998	R_16_00390_RT
ERR2497999	R_16_00391_RT
ERR2498000	R_16_00442_RT
ERR2498001	R_17_00011_RT
ERR2498002	R_17_00012_RT
ERR2498003	R_17_00013_RT
ERR2498004	R_17_00015_RT
ERR2498005	R_17_00016_RT
ERR2498006	R_17_00017_RT
ERR2498007	R_17_00018_RT
ERR2498008	R_17_00019_RT
ERR2498009	R_17_00020_RT
ERR2498010	R_17_00021_RT
ERR2498011	R_17_00022_RT
ERR2498012	R_17_00023_RT
ERR2498013	R_17_00029_RT
ERR2498014	R_17_00031_RT
ERR2498015	R_17_00032_RT
ERR2498016	R_17_00033_RT
ERR2498018	R_17_00035_RT
ERR2498019	R_17_00036_RT
ERR2498020	R_17_00037_RT
ERR2498021	R_17_00038_RT
ERR2498023	R_17_00292_RT
ERR2498024	R_17_00393_RT
ERR2498025	R_17_00394_RT
ERR2498026	R_17_00395_RT
ERR2498027	R_17_00396_RT
ERR2498028	R_17_00397_RT
ERR2498029	R_17_00398_RT
ERR2498030	R_17_00400_RT
ERR2498031	R_17_00401_RT
ERR2498032	R_17_00402_RT
ERR2498033	R_17_00819_RT
ERR3640800	R_16_00443_RT
ERR3640801	R_16_00444_RT
ERR3640802	R_16_00445_RT
ERR3640803	R_16_00446_RT
ERR3640804	R_16_00401_RT
ERR3640805	R_16_00402_RT
ERR3640806	R_16_00403_RT
ERR3640807	R_16_00447_RT
ERR3640808	R_16_00405_RT
ERR3640809	R_16_00407_RT
ERR3640810	R_16_00408_RT
ERR3640811	R_17_00039_RE
ERR3640812	R_17_00041_RE
ERR3640813	R_17_00042_RE
ERR3640814	R_17_00043_RE
ERR3640815	R_17_00044_RE
ERR3640816	R_17_00045_RE
ERR3640817	R_17_00046_RE
ERR3640818	R_17_00047_RE
ERR3640819	R_17_00048_RE
ERR3640820	R_17_00054_RE
ERR3640821	R_17_00055_RE
ERR3640822	R_17_00056_RE
ERR3640823	R_17_00058_RE
ERR3640824	R_17_00057_RE
ERR3640825	R_17_00294_RE
ERR3640826	R_17_00406_RE
ERR3640827	R_17_00408_RE
ERR3640828	R_17_00409_RE
ERR3640829	R_17_00407_RE
ERR3640830	R_17_00410_RE
ERR3640831	R_17_00412_RE
ERR3640832	R_17_00820_RE
